time,vs,hs,dist,alt,ang,weight,acc,fuel,dvs,NN
360.0,23.727309771088212,365.40744572426195,-64795.05607941051,3073.1050309493485,58.3,226.0206863643725,2.2160660184875494,61.02068636437249,24.0,0.7950424802020922
370.0,23.801952347582134,344.77392390677716,-68339.84724878249,2832.987954085719,58.3,224.078043088929,2.471690413981856,59.078043088929,24.0,0.8791294461693954
380.0,23.93624272390712,323.9132733986113,-71674.87178573867,2593.1443403999824,58.3,222.1413864174792,2.597270594246664,57.1413864174792,24.0,0.9158115725512762
390.0,24.014019812524147,302.6329072685709,-74797.02024562893,2353.4840430840645,58.3,220.19134080035974,2.6181137928909406,55.19134080035973,24.0,0.9150571213088438
400.0,24.025194248268452,280.91177110710635,-77703.21733517497,2113.8639609977304,58.3,218.2210757619765,2.606838932250585,53.221075761976486,24.0,0.9029638033871822
410.0,23.301234142553533,257.65968986514025,-80387.3693614591,1875.9705108741518,58.3,216.10716397440868,2.9152203398245713,51.10716397440867,16.0,1.0
420.0,21.7797089308664,232.74126282382443,-82827.12707632106,1651.3915651584775,58.3,213.88716397440865,2.945478299368067,48.88716397440866,16.0,1.0
430.0,20.336557017239397,207.56298152632073,-85016.27577041964,1441.5961145352658,58.3,211.66716397440865,2.976370959815805,46.667163974408645,16.0,1.0
440.0,18.970898565376768,182.1193691874418,-86952.18692023664,1245.8052208584336,58.3,209.44716397440862,3.007918503384351,44.44716397440863,16.0,1.0
450.0,17.68179866233317,156.4047740301333,-88632.17627800106,1063.2490449017666,58.3,207.22716397440863,3.0401419771290286,42.22716397440862,16.0,1.0
460.0,16.46826436625824,130.41336175012816,-90053.50208065349,893.1674132196346,58.3,205.0071639744086,3.073063339770136,40.007163974408606,16.0,1.0
470.0,15.329241574544557,104.1391075705825,-91213.36318122366,734.8104155079747,58.3,202.7871639744086,3.10670551159493,37.78716397440859,16.0,1.0
480.0,14.263611699688763,77.57578785962583,-92108.89709837345,587.4390343304915,58.3,200.5751433902687,3.0280706845443586,35.575143390268686,16.0,0.9640566853148473
490.0,13.740071388632598,57.21644466052601,-92770.81447566386,446.5913443879199,49.49863782903396,198.73954242668714,3.1699781146089747,33.739542426687144,12.0,1.0
500.0,11.617085404710812,37.32657303372451,-93223.71811221185,328.6809590089632,46.928309431294956,196.9539933963711,2.0382439746240446,31.953993396371093,12.0,0.6372068100290432
510.0,11.745301007521142,20.84084948639525,-93508.26042200715,209.58882584515075,45.784811853626174,195.35822737460688,2.296019469419939,30.35822737460687,12.0,0.7119782437515314
520.0,11.72147910855908,6.835660251862824,-93634.56429499268,93.10404046800434,36.785827073878124,193.9193090504396,1.900043834715293,28.919309050439615,6.0,0.5848495041167259
521.0,11.804416671953135,5.712501110066384,-93640.27679610276,81.29962379605121,36.23672267872874,193.69730905043963,3.252497430596443,28.697309050439614,6.0,1.0
522.0,10.780653106108762,3.8131628273039455,-93644.08995893005,70.51897068994245,35.729767180340346,193.47530905043962,3.256229454249157,28.475309050439613,6.0,1.0
523.0,9.740249302913075,1.9332703416564183,-93646.02322927171,60.77872138702938,35.26239703088251,193.2533090504396,3.259970052236303,28.25330905043961,6.0,1.0
524.0,8.684501021458066,1.9332703416564183,-93647.95649961337,52.09422036557131,34.83134131943473,193.0313090504396,3.263719254141199,28.03130905043961,6.0,1.0
